Job Post,Company,Skills,Ratings,Reviews,Experience,Salary,Location,Job_Post_History,URL
Site Merchandiser,Mahindra First Choice Wheels Ltd  (car&bike),"Banners,Content,google analytics,merchandising,designing",4.1,(556 Reviews),4-5 Yrs,Not disclosed,Mumbai,1 Day Ago,https://www.naukri.com/job-listings-site-merchandiser-mahindra-first-choice-wheels-ltd-car-bike-mumbai-4-to-5-years-280822001387
Graphic Designer,Mahindra First Choice Wheels Ltd (car&bike),"Video Editing,Illustrator,Adobe After Effects,Photoshop,Indesign",4.1,(556 Reviews),2-5 Yrs,Not disclosed,Mumbai,1 Day Ago,https://www.naukri.com/job-listings-graphic-designer-mahindra-first-choice-wheels-ltd-car-bike-mumbai-2-to-5-years-280822001370
Executive Copywriter,Mahindra First Choice Wheels Ltd (car&bike)  ,"Graphics,text images,Content,copy writer,social media,Banners",4.1,(556 Reviews),2-4 Yrs,Not disclosed,Mumbai,1 Day Ago,https://www.naukri.com/job-listings-executive-copywriter-mahindra-first-choice-wheels-ltd-car-bike-mumbai-2-to-4-years-280822001350
"Automation Test Engineer Position , Bangalore",Mahindra First Choice,"#Automation Tester,Automation Engineering",4.1,(556 Reviews),3-5 Yrs,"7,00,000 - 10,00,000 PA.",Bangalore/Bengaluru,8 Days Ago,https://www.naukri.com/job-listings-automation-test-engineer-position-bangalore-mahindra-first-choice-wheels-ltd-bangalore-bengaluru-3-to-5-years-220822002148
Area Manager - Xmart,Mahindra First Choice,"dealer sales,Channel Sales,Dealer Channel Management,Dealer Development",4.1,(556 Reviews),3-8 Yrs,Not disclosed,"Ludhiana, Jaipur, Delhi / NCR",30+ Days Ago,https://www.naukri.com/job-listings-area-manager-xmart-mahindra-first-choice-wheels-ltd-ludhiana-jaipur-delhi-ncr-3-to-8-years-290722012144
Area Manager - XMart,Mahindra First Choice,"sales operations,area management,Business Development,dealer network",4.1,(556 Reviews),6-8 Yrs,Not disclosed,"Guwahati, Bhopal, Raipur",30+ Days Ago,https://www.naukri.com/job-listings-area-manager-xmart-mahindra-first-choice-wheels-ltd-guwahati-bhopal-raipur-6-to-8-years-290722008237
Software Engineer- BIZAGI Developer,Mahindra First Choice,"MS SQL,Web services,Design development,business rules,Deployment,Mentor,Subject Matter Expert,Virtualization",4.1,(556 Reviews),3-8 Yrs,Not disclosed,"Chennai, Bengaluru",30+ Days Ago,https://www.naukri.com/job-listings-software-engineer-bizagi-developer-mahindra-first-choice-wheels-ltd-chennai-bengaluru-bangalore-3-to-8-years-180920501023
Software Engineer/ Senior Software Engineer,Mahindra First Choice,"PHP,OOPS,PHP framework,Laravel,React JS,CSS3,SQL,REST API",4.1,(556 Reviews),2-6 Yrs,Not disclosed,Bangalore/Bengaluru,25 Days Ago,https://www.naukri.com/job-listings-software-engineer-senior-software-engineer-mahindra-first-choice-wheels-ltd-bangalore-bengaluru-2-to-6-years-050822907470
Store Manager - Superstore,Mahindra First Choice,"sales,Key Account Management,Business Development,Vehicles procurement",4.1,(556 Reviews),8-12 Yrs,Not disclosed,"Nasik/Nashik, Pune",30+ Days Ago,https://www.naukri.com/job-listings-store-manager-superstore-mahindra-first-choice-wheels-ltd-nasik-nashik-pune-8-to-12-years-290722009702
Customer Relation Executive,Mahindra First Choice,"Customer Relation Executive,Malayalam,Customer service",4.1,(556 Reviews),0-2 Yrs,Not disclosed,Gurgaon,30+ Days Ago,https://www.naukri.com/job-listings-customer-relation-executive-mahindra-first-choice-wheels-ltd-gurgaon-0-to-2-years-180920501022
Senior Product Manager,Mahindra First Choice,Product Management,4.1,(556 Reviews),3-8 Yrs,"13,00,000 - 20,00,000 PA.","Chennai, Bangalore/Bengaluru",20 Days Ago,https://www.naukri.com/job-listings-senior-product-manager-mahindra-first-choice-wheels-ltd-chennai-bangalore-bengaluru-3-to-8-years-070722004573
Manager - Superstore,Mahindra First Choice,"sales,Retail Sales,Showroom Sales",4.1,(556 Reviews),4-9 Yrs,Not disclosed,Gurgaon/Gurugram,30+ Days Ago,https://www.naukri.com/job-listings-manager-superstore-mahindra-first-choice-wheels-ltd-gurgaon-gurugram-4-to-9-years-290722011787
Area Manager / Territory Manager,Mahindra First Choice,"Automobile,Sales,Process improvement,Network expansion,Management,Business operations",4.1,(556 Reviews),4-9 Yrs,Not disclosed,india,30+ Days Ago,https://www.naukri.com/job-listings-area-manager-territory-manager-mahindra-first-choice-wheels-ltd-india-4-to-9-years-031120500001
Software Engineer- PHP Developer,Mahindra First Choice,"Front end,Symfony,Architecture,OOPS,PHP,MVC,SQL",4.1,(556 Reviews),2-7 Yrs,Not disclosed,"Chennai, Bengaluru",30+ Days Ago,https://www.naukri.com/job-listings-software-engineer-php-developer-mahindra-first-choice-wheels-ltd-chennai-bengaluru-bangalore-2-to-7-years-180920501025
Software Engineer- React Full Stack Developer,Mahindra First Choice,"Javascript,SQL,Technical documentation,Testing",4.1,(556 Reviews),3-5 Yrs,Not disclosed,"Chennai, Bengaluru",30+ Days Ago,https://www.naukri.com/job-listings-software-engineer-react-full-stack-developer-mahindra-first-choice-wheels-ltd-chennai-bengaluru-bangalore-3-to-5-years-180920501024
Software Engineer -Dot Net Developer,Mahindra First Choice,"LINQ,ASP.Net,MVC,Principal,SQL,Technical documentation,Testing",4.1,(556 Reviews),3-5 Yrs,Not disclosed,Bengaluru,30+ Days Ago,https://www.naukri.com/job-listings-software-engineer-dot-net-developer-mahindra-first-choice-wheels-ltd-bengaluru-bangalore-3-to-5-years-031120500002
Tcs is Hiring For Power BI Platform Administrator- Pune,TATA CONSULTANCY SERVICES (TCS),"Power BI administration,IT Skills,AWS,Power BI,Azure,Performance tuning,SSRS,Server Management",3.9,(46198 Reviews),5-8 Yrs,Not disclosed,Pune,Today,https://www.naukri.com/job-listings-tcs-is-hiring-for-power-bi-platform-administrator-pune-tata-consultancy-services-ltd-pune-5-to-8-years-300822004381
Cloud Architect-AWS/Azure/Talend,TATA CONSULTANCY SERVICES (TCS),"ETL Architect,Cloud Architecture,Azure Cloud Architect,AWS Cloud Architect,Data Architecture,IT Skills,Quality Assurance,Cloud",3.9,(46198 Reviews),10-17 Yrs,Not disclosed,Bangalore/Bengaluru,2 Days Ago,https://www.naukri.com/job-listings-cloud-architect-aws-azure-talend-tata-consultancy-services-ltd-bangalore-bengaluru-10-to-17-years-280822000827
Azure Data Bricks including Pythonapi Integration,TATA CONSULTANCY SERVICES (TCS),"ORC,XML,CSV,API Integration,Azure Databricks,Excel,IT Skills,Azure",3.9,(46198 Reviews),5-10 Yrs,Not disclosed,"Noida, Kolkata, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",Today,https://www.naukri.com/job-listings-azure-data-bricks-including-pythonapi-integration-tata-consultancy-services-ltd-noida-kolkata-chennai-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-5-to-10-years-300822000832
Dot Net Developer,TATA CONSULTANCY SERVICES (TCS),"angular,.net core,ASP.Net,MVC,analytical,Agile,SONAR,Scrum",3.9,(46198 Reviews),5-10 Yrs,Not disclosed,Bangalore/Bengaluru,7 Days Ago,https://www.naukri.com/job-listings-dot-net-developer-tata-consultancy-services-ltd-bangalore-bengaluru-5-to-10-years-230822012158
AWS QA Test Automation Architect,TATA CONSULTANCY SERVICES (TCS),"automation framework,selenium,automation testing,Java Application Development,AWS,Azure,Java,Google",3.9,(46198 Reviews),8-10 Yrs,Not disclosed,Pan India,7 Days Ago,https://www.naukri.com/job-listings-aws-qa-test-automation-architect-tata-consultancy-services-ltd-pan-india-8-to-10-years-230822006471
Azure Data Engineer,TATA CONSULTANCY SERVICES (TCS),"Azure Databricks,azure data factory,ADLS,Azure Devops,DevOps,Data Migration Service,Kafka,Azure Stream Analytics",3.9,(46198 Reviews),4-9 Yrs,Not disclosed,"Indore, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",7 Days Ago,https://www.naukri.com/job-listings-azure-data-engineer-tata-consultancy-services-ltd-indore-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-4-to-9-years-230822005126
"Azure Cloud, ML Engineer",TATA CONSULTANCY SERVICES (TCS),"Azure Migrate,Artificial Intelligence,Cicd Pipeline,Machine Learning,python,Azure Functions,web technologies,sql",3.9,(46198 Reviews),4-9 Yrs,Not disclosed,Pan India,6 Days Ago,https://www.naukri.com/job-listings-azure-cloud-ml-engineer-tata-consultancy-services-ltd-pan-india-4-to-9-years-170822007647
Azure Chatbot Developer,TATA CONSULTANCY SERVICES (TCS),"QnA Maker,Azure ML,Azure Bot,Azure,AI,LUIS,MVC,Node js",3.9,(46198 Reviews),3-8 Yrs,Not disclosed,"Kolkata, Pune, Chennai, India, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",11 Days Ago,https://www.naukri.com/job-listings-azure-chatbot-developer-tata-consultancy-services-ltd-kolkata-pune-chennai-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-india-3-to-8-years-190822001817
CRM Technical Consultant,TATA CONSULTANCY SERVICES (TCS),"Dynamics 365,Azure Service Bus,Microsoft Dynamics,Power Platform,Dynamics 365 CE Apps,Azure Functions,Customer Service,Azure",3.9,(46198 Reviews),4-9 Yrs,"5,00,000 - 15,00,000 PA.","Bangalore/Bengaluru, India",13 Days Ago,https://www.naukri.com/job-listings-crm-technical-consultant-tata-consultancy-services-ltd-bangalore-bengaluru-india-4-to-9-years-170822009256
Azure Technical Lead,TATA CONSULTANCY SERVICES (TCS),Azure Devops,3.9,(46198 Reviews),6-10 Yrs,Not disclosed,"Kolkata, Pune, Chennai, India, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",13 Days Ago,https://www.naukri.com/job-listings-azure-technical-lead-tata-consultancy-services-ltd-kolkata-pune-chennai-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-india-6-to-10-years-170822005962
Hiring For MS Intune,TATA CONSULTANCY SERVICES (TCS),"Intune,Azure AD,Azure,Hybrid AD,IT Skills,MDM,MAM,Intune MAM",3.9,(46198 Reviews),2-6 Yrs,Not disclosed,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",13 Days Ago,https://www.naukri.com/job-listings-hiring-for-ms-intune-tata-consultancy-services-ltd-hyderabad-secunderabad-chennai-bangalore-bengaluru-2-to-6-years-170822005067
Angular 10 Developer,TATA CONSULTANCY SERVICES (TCS),"Git Repository,Angular,Azure Devops,Azure,Angular 14,UX,DevOps,Figma",3.9,(46198 Reviews),5-10 Yrs,Not disclosed,"Nagpur, Hyderabad/Secunderabad, Bangalore/Bengaluru",10 Days Ago,https://www.naukri.com/job-listings-angular-10-developer-tata-consultancy-services-ltd-nagpur-hyderabad-secunderabad-bangalore-bengaluru-5-to-10-years-200822002286
ZScaler Security Engineer | Exp: 5 - 6 Years | Trivandrum,TATA CONSULTANCY SERVICES (TCS),"Azure,Zscaler,Implementation,Checkpoint,design,Splunk,Azure MFA,IT Skills",3.9,(46198 Reviews),5-8 Yrs,"12,00,000 - 20,00,000 PA.",Trivandrum/Thiruvananthapuram,10 Days Ago,https://www.naukri.com/job-listings-zscaler-security-engineer-exp-5-6-years-trivandrum-tata-consultancy-services-ltd-trivandrum-thiruvananthapuram-5-to-8-years-200822002185
Hiring For O365 administrator,TATA CONSULTANCY SERVICES (TCS),"O365 admin,M365,IT Skills,Azure,M365 Advance Threat Protection,Azure AD,ODfB,M365 Tenant",3.9,(46198 Reviews),4-9 Yrs,Not disclosed,"Hyderabad/Secunderabad, Bangalore/Bengaluru, Delhi / NCR",13 Days Ago,https://www.naukri.com/job-listings-hiring-for-o365-administrator-tata-consultancy-services-ltd-hyderabad-secunderabad-bangalore-bengaluru-delhi-ncr-4-to-9-years-170822004787
Python Data Engineer,TATA CONSULTANCY SERVICES (TCS),"python,IT Skills,Cloud,DevOps,Big Data,Azure,Query,Azure Cloud",3.9,(46198 Reviews),3-7 Yrs,Not disclosed,Mumbai (All Areas),13 Days Ago,https://www.naukri.com/job-listings-python-data-engineer-tata-consultancy-services-ltd-mumbai-all-areas-3-to-7-years-170822000974
Tcs Hiring :: Azure Data Engnieer_Bangalore/Panindia,TATA CONSULTANCY SERVICES (TCS),"Azure,Data Analysis,SQL,Data Analytics,IT Skills",3.9,(46198 Reviews),2-6 Yrs,"2,00,000 - 7,00,000 PA.",Bangalore/Bengaluru,13 Days Ago,https://www.naukri.com/job-listings-tcs-hiring-azure-data-engnieer-bangalore-panindia-tata-consultancy-services-ltd-bangalore-bengaluru-2-to-6-years-170822000921
.Net Angular and Azure Developer,TATA CONSULTANCY SERVICES (TCS),"Azure Paas,.net,PaaS,C#,Web API NET,Entity Framework,ASP NET,OOPs",3.9,(46198 Reviews),3-8 Yrs,Not disclosed,"Kolkata, Mumbai, Ahmedabad",14 Days Ago,https://www.naukri.com/job-listings-net-angular-and-azure-developer-tata-consultancy-services-ltd-kolkata-mumbai-ahmedabad-3-to-8-years-160822010729
Tcs is Hiring For Azure Cloud Security Engineer,TATA CONSULTANCY SERVICES (TCS),"azure active directory,Azure Security,Azure,Azure AD,IT Skills,Cloud,cloud security,threat modeling",3.9,(46198 Reviews),5-8 Yrs,Not disclosed,Kolkata,14 Days Ago,https://www.naukri.com/job-listings-tcs-is-hiring-for-azure-cloud-security-engineer-tata-consultancy-services-ltd-kolkata-5-to-8-years-160822007165
IBM MDM Engineer,TATA CONSULTANCY SERVICES (TCS),"Ibm Mdm,Azure SQL,Microsoft SQL Server,SQL Server,PME,MQ,SQL,MDM DB2",3.9,(46198 Reviews),3-7 Yrs,Not disclosed,"Bhubaneswar, Chennai, Bangalore/Bengaluru, Mumbai (All Areas)",14 Days Ago,https://www.naukri.com/job-listings-ibm-mdm-engineer-tata-consultancy-services-ltd-bhubaneswar-chennai-bangalore-bengaluru-mumbai-all-areas-3-to-7-years-160822001809
Tcs is hiring For  Azure AD_Chennai,TATA CONSULTANCY SERVICES (TCS),"Azure Active Directory,ADFS SSO,VMware,WinTEL",3.9,(46198 Reviews),8-10 Yrs,Not disclosed,Chennai,14 Days Ago,https://www.naukri.com/job-listings-tcs-is-hiring-for-azure-ad-chennai-tata-consultancy-services-ltd-chennai-8-to-10-years-160822000817
Tcs  Hiring For Azure Data Engineer,TATA CONSULTANCY SERVICES (TCS),"Azure Data Factory,Data Bricks,sql server,Python,troubleshooting,Azure Data Bricks,scala,ADB",3.9,(46198 Reviews),3-8 Yrs,Not disclosed,Hyderabad/Secunderabad,13 Days Ago,https://www.naukri.com/job-listings-tcs-hiring-for-azure-data-engineer-tata-consultancy-services-ltd-hyderabad-secunderabad-3-to-8-years-040822004898
Automation Engineer,TATA CONSULTANCY SERVICES (TCS),"automation engineering,Espresso,XCUITEST,mobile testing,Git,automation,coding,IT Skills",3.9,(46198 Reviews),3-8 Yrs,Not disclosed,"Hyderabad/Secunderabad, Ahmedabad, Chennai",2 Days Ago,https://www.naukri.com/job-listings-automation-engineer-tata-consultancy-services-ltd-hyderabad-secunderabad-ahmedabad-chennai-3-to-8-years-280822000485
Azure Certified Dot Net Developer,TATA CONSULTANCY SERVICES (TCS),"Azure,. Net,analytical,Java NET,REST API,Azure C#,Java,IT Skills",3.9,(46198 Reviews),4-9 Yrs,Not disclosed,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",24 Days Ago,https://www.naukri.com/job-listings-azure-certified-dot-net-developer-tata-consultancy-services-ltd-hyderabad-secunderabad-chennai-bangalore-bengaluru-4-to-9-years-250722008787
Assistant Manager Recruitment,Tech Mahindra Business Services,"Bulk Hiring,BPO,vendor management,Volume Hiring,Mass Hiring",3.6,(1236 Reviews),7-11 Yrs,Not disclosed,"Pune, Mumbai (All Areas)",12 Days Ago,https://www.naukri.com/job-listings-assistant-manager-recruitment-tech-mahindra-business-services-limited-pune-mumbai-all-areas-7-to-11-years-180822004192
Manager Recruitment,Tech Mahindra Business Services,"Volume Hiring,BPO,vendor management,Sourcing Profiles,BPO Hiring,recruitment,Mass Recruitment,Sourcing",3.6,(1236 Reviews),6-11 Yrs,Not disclosed,"Pune, Mumbai (All Areas)",12 Days Ago,https://www.naukri.com/job-listings-manager-recruitment-tech-mahindra-business-services-limited-pune-mumbai-all-areas-6-to-11-years-180822004131
Senior Executive,Tech Mahindra Business Services,"talent acquisition,Volume Hiring,End To End Recruitment,Bulk Hiring",3.6,(1236 Reviews),4-7 Yrs,"7,00,000 - 8,00,000 PA.",Mumbai (All Areas),12 Days Ago,https://www.naukri.com/job-listings-senior-executive-tech-mahindra-business-services-limited-mumbai-all-areas-4-to-7-years-180822002649
Talent Acquisition Executive,Tech Mahindra Business Services,"Background Verification,Bgv,excel,Stakeholders Management",3.6,(1236 Reviews),1-4 Yrs,"3,00,000 - 4,00,000 PA.",Pune,12 Days Ago,https://www.naukri.com/job-listings-talent-acquisition-executive-tech-mahindra-business-services-limited-pune-1-to-4-years-180822002485
Customer Relationship Executive,Tech Mahindra Business Services,"Customer Support,BPO,customer service,International Sales,Technical Support,Bpo Sales",3.6,(1236 Reviews),1-6 Yrs,"3,00,000 - 5,00,000 PA.",Mumbai,15 Days Ago,https://www.naukri.com/job-listings-customer-relationship-executive-tech-mahindra-business-services-limited-mumbai-1-to-6-years-150822000768
HR Recruiter/ HR Executive,Tech Mahindra Business Services,"HR,BPO Hiring,Human Resource Management,Hiring,Talent Management,Bulk Hiring,HR Recruiter,Recruiter",3.6,(1236 Reviews),0-3 Yrs,"2,00,000 - 2,75,000 PA.","Mumbai, Mumbai Suburban",14 Days Ago,https://www.naukri.com/job-listings-hr-recruiter-hr-executive-tech-mahindra-business-services-limited-mumbai-mumbai-suburban-0-to-3-years-020522002490
Hiring For Collections-International Process,Tech Mahindra Business Services Pvt. Ltd  ,"freshers,customer service,excellent communication,BPO,telecaller,mumbai,good communication skills,confident",3.6,(1236 Reviews),0-5 Yrs,"2,25,000 - 4,00,000 PA.","Mumbai, Mumbai Suburban, Navi Mumbai",30+ Days Ago,https://www.naukri.com/job-listings-hiring-for-collections-international-process-tech-mahindra-business-services-pvt-ltd-mumbai-mumbai-suburban-navi-mumbai-0-to-5-years-300722006235
Hiring For Customer Service Role-Australian Process,Tech Mahindra Business Services Pvt. Ltd  ,"freshers,customer service,excellent communication,BPO,telecaller,mumbai,good communication skills,confident",3.6,(1236 Reviews),0-5 Yrs,"2,25,000 - 4,75,000 PA.","Mumbai, Mumbai Suburban, Navi Mumbai",30+ Days Ago,https://www.naukri.com/job-listings-hiring-for-customer-service-role-australian-process-tech-mahindra-business-services-pvt-ltd-mumbai-mumbai-suburban-navi-mumbai-0-to-5-years-300722000079
Hiring For Customer Service-International Process,Tech Mahindra Business Services Pvt. Ltd  ,"customer service,excellent communication,BPO,telecaller,mumbai,optus,barclays,good communication skills",3.6,(1236 Reviews),0-5 Yrs,"2,25,000 - 4,50,000 PA.","Mumbai, Mumbai Suburban, Navi Mumbai",16 Days Ago,https://www.naukri.com/job-listings-hiring-for-customer-service-international-process-tech-mahindra-business-services-pvt-ltd-mumbai-mumbai-suburban-navi-mumbai-0-to-5-years-140822000516
Tech Mahindra is Hiring For Technical Support - Australian Process,Tech Mahindra Business Services Pvt. Ltd  ,"International Voice,BPO,voice,international bpo,optus,Customer Service,verizon,international procees",3.6,(1236 Reviews),0-5 Yrs,"2,25,000 - 6,00,000 PA.","Mumbai, Mumbai Suburban, Navi Mumbai",16 Days Ago,https://www.naukri.com/job-listings-tech-mahindra-is-hiring-for-technical-support-australian-process-tech-mahindra-business-services-pvt-ltd-mumbai-mumbai-suburban-navi-mumbai-0-to-5-years-140822000513
Customer Service Executive,Tech Mahindra Business Services Pvt. Ltd  ,"telecaller,customer service,Voice Process,BPO,technical support,aus shift,customer care,Inbound",3.6,(1236 Reviews),0-5 Yrs,"2,25,000 - 4,00,000 PA.","Mumbai, Mumbai Suburban, Navi Mumbai",18 Days Ago,https://www.naukri.com/job-listings-customer-service-executive-tech-mahindra-business-services-pvt-ltd-mumbai-mumbai-suburban-navi-mumbai-0-to-5-years-120822006149
Customer Service Executive,Tech Mahindra Business Services Pvt. Ltd  ,"telecaller,customer service,Voice Process,BPO,technical support,customer care,International Voice,Inbound",3.6,(1236 Reviews),0-5 Yrs,"2,25,000 - 4,00,000 PA.","Mumbai, Mumbai Suburban, Navi Mumbai",18 Days Ago,https://www.naukri.com/job-listings-customer-service-executive-tech-mahindra-business-services-pvt-ltd-mumbai-mumbai-suburban-navi-mumbai-0-to-5-years-120822006049
Tech Mahindra is Hiring For Technical Support - Australian Process,Tech Mahindra Business Services Pvt. Ltd  ,"International Voice,BPO,voice,international bpo,tech,optus,barclays,Customer Service",3.6,(1236 Reviews),0-5 Yrs,"2,25,000 - 6,00,000 PA.","Mumbai, Mumbai Suburban, Navi Mumbai",18 Days Ago,https://www.naukri.com/job-listings-tech-mahindra-is-hiring-for-technical-support-australian-process-tech-mahindra-business-services-pvt-ltd-mumbai-mumbai-suburban-navi-mumbai-0-to-5-years-120822000045
Hiring For Customer Care-Australian Process,Tech Mahindra Business Services Pvt. Ltd  ,"customer service,excellent communication,BPO,expedia,telecaller,mumbai,optus,barclays",3.6,(1236 Reviews),0-5 Yrs,"2,25,000 - 4,00,000 PA.","Mumbai, Mumbai Suburban, Navi Mumbai",21 Days Ago,https://www.naukri.com/job-listings-hiring-for-customer-care-australian-process-tech-mahindra-business-services-pvt-ltd-mumbai-mumbai-suburban-navi-mumbai-0-to-5-years-090822000753
Tech Mahindra is Hiring For Technical Support - Australian Process,Tech Mahindra Business Services Pvt. Ltd  ,"optus,BPO,voice,international bpo,Customer Service,verizon,international procees,HP",3.6,(1236 Reviews),0-5 Yrs,"2,25,000 - 5,50,000 PA.","Mumbai, Mumbai Suburban, Navi Mumbai",21 Days Ago,https://www.naukri.com/job-listings-tech-mahindra-is-hiring-for-technical-support-australian-process-tech-mahindra-business-services-pvt-ltd-mumbai-mumbai-suburban-navi-mumbai-0-to-5-years-090822000749
Hiring For Customer Service-Australian Process,Tech Mahindra Business Services Pvt. Ltd  ,"customer service,excellent communication,BPO,expedia,telecaller,mumbai,optus,barclays",3.6,(1236 Reviews),0-5 Yrs,"2,25,000 - 4,00,000 PA.","Mumbai, Mumbai Suburban, Navi Mumbai",22 Days Ago,https://www.naukri.com/job-listings-hiring-for-customer-service-australian-process-tech-mahindra-business-services-pvt-ltd-mumbai-mumbai-suburban-navi-mumbai-0-to-5-years-080822000007
Tech Mahindra is Hiring For Technical Support - Australian Process,Tech Mahindra Business Services Pvt. Ltd  ,"International Voice,BPO,voice,international bpo,optus,Customer Service,verizon,international procees",3.6,(1236 Reviews),0-5 Yrs,"2,25,000 - 5,50,000 PA.","Mumbai, Mumbai Suburban, Navi Mumbai",24 Days Ago,https://www.naukri.com/job-listings-tech-mahindra-is-hiring-for-technical-support-australian-process-tech-mahindra-business-services-pvt-ltd-mumbai-mumbai-suburban-navi-mumbai-0-to-5-years-060822004940
Technical Voice Process : Australian shifts,Tech Mahindra Business Services Pvt. Ltd  ,"BPO,customer service,voice,Communication Skills,Technical Support,Technical Voice Process,ITES,Voice Process",3.6,(1236 Reviews),1-6 Yrs,"3,75,000 - 5,50,000 PA.","Mumbai, Mumbai Suburban",25 Days Ago,https://www.naukri.com/job-listings-technical-voice-process-australian-shifts-tech-mahindra-business-services-pvt-ltd-mumbai-mumbai-suburban-1-to-6-years-050822002969
International Voice process : Tech & Non tech (Mumbai),Tech Mahindra Business Services Pvt. Ltd  ,"BPO,Voice Process,customer service,voice,international bpo,customer care,Rotational shift,Retention",3.6,(1236 Reviews),0-5 Yrs,"2,75,000 - 5,50,000 PA.","Mumbai, Mumbai Suburban",25 Days Ago,https://www.naukri.com/job-listings-international-voice-process-tech-non-tech-mumbai-tech-mahindra-business-services-pvt-ltd-mumbai-mumbai-suburban-0-to-5-years-050822002158
Hiring For Australian Upgrades Process,Tech Mahindra Business Services Pvt. Ltd  ,"customer service,excellent communication,BPO,telecaller,mumbai,optus,barclays,good communication skills",3.6,(1236 Reviews),1-5 Yrs,"2,25,000 - 6,00,000 PA.","Mumbai, Mumbai Suburban, Navi Mumbai",27 Days Ago,https://www.naukri.com/job-listings-hiring-for-australian-upgrades-process-tech-mahindra-business-services-pvt-ltd-mumbai-mumbai-suburban-navi-mumbai-1-to-5-years-030822007140
Python Automation || Hyderabad|| Tcs,TATA CONSULTANCY SERVICES (TCS),"Automation,Python",3.9,(46198 Reviews),3-8 Yrs,Not disclosed,Hyderabad/Secunderabad,1 Day Ago,https://www.naukri.com/job-listings-python-automation-hyderabad-tcs-tata-consultancy-services-ltd-hyderabad-secunderabad-3-to-8-years-290822009715
Exchange Administrator,TATA CONSULTANCY SERVICES (TCS),"exchange administration,Mail flow,Hybrid configuration,Troubleshooting,Office 365,Change management,ITIL,MS Exchange 2016",3.9,(46198 Reviews),5-10 Yrs,"4,00,000 - 9,00,000 PA.",Bangalore/Bengaluru,Today,https://www.naukri.com/job-listings-exchange-administrator-tata-consultancy-services-ltd-bangalore-bengaluru-5-to-10-years-300822003977
"Database Architect_Tata Consultancy Services(Tcs)
",TATA CONSULTANCY SERVICES (TCS),"IT Skills,Python,Cloud,AWS,Tableau,Power BI,Azure,Database Architect",3.9,(46198 Reviews),10-12 Yrs,Not disclosed,"Pune, Bangalore/Bengaluru, Mumbai (All Areas)",Today,https://www.naukri.com/job-listings-database-architect-tata-consultancy-services-tcs-tata-consultancy-services-ltd-pune-bangalore-bengaluru-mumbai-all-areas-10-to-12-years-300822003414
Talend Ecosystem ETL,TATA CONSULTANCY SERVICES (TCS),"ETL,Oracle,AWS,Flat Files,SQL Server,MS Excel,IT Skills,Cloud",3.9,(46198 Reviews),2-7 Yrs,Not disclosed,"Hyderabad/Secunderabad, Chennai, Delhi / NCR",1 Day Ago,https://www.naukri.com/job-listings-talend-ecosystem-etl-tata-consultancy-services-ltd-hyderabad-secunderabad-chennai-delhi-ncr-2-to-7-years-290822008595
Business Analyst,TATA CONSULTANCY SERVICES (TCS),"Business Analysis,LEAN,stakeholder management,DevOps,agile,SCRUM,SQL,IT Skills",3.9,(46198 Reviews),4-9 Yrs,Not disclosed,Chennai,1 Day Ago,https://www.naukri.com/job-listings-business-analyst-tata-consultancy-services-ltd-chennai-4-to-9-years-290822008042
Tcs is hiring For IT IS_DCS_System Admin_Unix_Kolkata,TATA CONSULTANCY SERVICES (TCS),"Unix,Redhat,communication,Linux Administration,Linux System Administration,Unix Administration",3.9,(46198 Reviews),5-10 Yrs,Not disclosed,Kolkata,1 Day Ago,https://www.naukri.com/job-listings-tcs-is-hiring-for-it-is-dcs-system-admin-unix-kolkata-tata-consultancy-services-ltd-kolkata-5-to-10-years-290822006723
Python & AWS Developer,TATA CONSULTANCY SERVICES (TCS),"python,AWS,EC2,Ansible,Jenkins,agile,Cloud Computing Infrastructure,Cloud Formation",3.9,(46198 Reviews),7-12 Yrs,Not disclosed,Pan India,1 Day Ago,https://www.naukri.com/job-listings-python-aws-developer-tata-consultancy-services-ltd-pan-india-7-to-12-years-290822004323
Technical Architect/Microservices Consultant,TATA CONSULTANCY SERVICES (TCS),"Angularjs,spring cloud,microservices,IT Skills,Java,Cloud,DevOps,Jenkins",3.9,(46198 Reviews),5-10 Yrs,Not disclosed,Pan India,1 Day Ago,https://www.naukri.com/job-listings-technical-architect-microservices-consultant-tata-consultancy-services-ltd-pan-india-5-to-10-years-290822004169
